iter	Passed	Remaining
429	1719	2279
430	1723	2275
431	1727	2271
432	1731	2267
433	1735	2263
434	1739	2259
435	1743	2255
436	1747	2251
437	1751	2247
438	1755	2243
439	1759	2239
440	1763	2235
441	1767	2230
442	1770	2226
443	1775	2223
444	1779	2219
445	1783	2214
446	1786	2210
447	1790	2206
448	1794	2202
449	1798	2198
450	1802	2193
451	1806	2190
452	1811	2186
453	1815	2182
454	1819	2179
455	1823	2175
456	1827	2171
457	1831	2166
458	1835	2162
459	1839	2159
460	1843	2155
461	1847	2151
462	1850	2146
463	1855	2142
464	1859	2139
465	1863	2135
466	1867	2131
467	1871	2127
468	1876	2124
469	1879	2119
470	1883	2115
471	1887	2111
472	1891	2107
473	1895	2103
474	1899	2099
475	1903	2095
476	1907	2091
477	1911	2087
478	1915	2083
479	1919	2079
480	1923	2075
481	1927	2071
482	1931	2066
483	1935	2062
484	1939	2059
485	1943	2055
486	1947	2050
487	1951	2047
488	1955	2043
489	1959	2039
490	1963	2035
491	1966	2030
492	1971	2027
493	1974	2022
494	1978	2018
495	1982	2014
496	1987	2011
497	1990	2006
498	1994	2002
499	1998	1998
500	2003	1995
501	2006	1990
502	2010	1986
503	2014	1982
504	2018	1978
505	2022	1974
506	2026	1970
507	2030	1966
508	2034	1962
509	2038	1958
510	2042	1954
511	2046	1950
512	2050	1946
513	2054	1942
514	2058	1938
515	2062	1934
516	2066	1930
517	2070	1926
518	2074	1922
519	2078	1918
520	2082	1915
521	2087	1911
522	2091	1907
523	2095	1903
524	2099	1899
525	2103	1895
526	2107	1891
527	2110	1887
528	2115	1883
529	2119	1879
530	2122	1875
531	2126	1870
532	2130	1867
533	2134	1863
534	2138	1858
535	2142	1855
536	2147	1851
537	2151	1847
538	2155	1843
539	2159	1839
540	2163	1835
541	2167	1831
542	2171	1827
543	2175	1823
544	2180	1820
545	2184	1816
546	2188	1812
547	2191	1807
548	2196	1804
549	2200	1800
550	2204	1796
551	2208	1792
552	2212	1788
553	2216	1784
554	2220	1780
555	2224	1776
556	2228	1772
557	2232	1768
558	2236	1764
559	2240	1760
560	2244	1756
561	2248	1752
562	2252	1748
563	2256	1744
564	2260	1740
565	2265	1736
566	2269	1732
567	2272	1728
568	2277	1724
569	2281	1721
570	2285	1717
571	2289	1713
572	2294	1709
573	2298	1705
574	2302	1701
575	2306	1697
576	2310	1693
577	2314	1689
578	2318	1685
579	2322	1681
580	2326	1677
581	2330	1673
582	2333	1669
583	2337	1665
584	2342	1661
585	2346	1657
586	2349	1653
587	2353	1649
588	2357	1645
589	2362	1641
590	2366	1637
591	2370	1633
592	2374	1629
593	2378	1625
594	2382	1621
595	2386	1617
596	2390	1613
597	2394	1609
